project_id,camera_check_tbl_id,camera_label,station_id,check_date,treatment,bait,feature,camera_status,media_recovered,quiet_period,battery,sensitivity,images_per_trigger,camera_height,camera_angle,camera_bearing,camera_distance,stop_date
MK,1047,WC135,MK01,2020-08-25 00:00:00,HLPXEL10022576,None,"Trail, hiking/people",Active in field,t,1,100,100,1,0.85,0,0,,2020-09-01 00:00:00
MK,1331,WC265,MK12,2021-04-11 00:00:00,NW-facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.13,0,0,,2021-07-13 00:00:00
MK,857,WC233,MKRF1,2021-04-11 00:00:00,NA,None,"Trail, hiking/people",Active in field,t,1,100,100,1,0.74,0,0,,2021-06-04 00:00:00
MK,852,WC098,MK17,2021-06-03 00:00:00,W-facing,None,"Trail, game",Wildlife Damage,t,0,100,100,1,1.77,0,0,,
MK,850,WC104,MK02,2021-06-04 00:00:00,Cedar/alder stand with intermediate shrubby undergrowth,None,"Road, dirt",Active in field,t,1,100,100,1,0.81,0,0,4.12,2021-11-11 00:00:00
MK,858,WC233,MKRF1,2021-06-04 00:00:00,NA,None,"Trail, hiking/people",Active in field,t,1,100,100,1,0.74,0,0,,2021-07-16 00:00:00
MK,864,WC069,MKRF2,2021-04-11 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2021-04-11 00:00:00
MK,860,WC070,MKRF3,2021-04-11 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2021-06-03 00:00:00
MK,859,WC070,MKRF3,2021-06-03 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2021-07-16 00:00:00
MK,861,WC071,MKRF4,2021-04-11 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2021-06-03 00:00:00
MK,862,WC071,MKRF4,2021-06-03 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2021-07-16 00:00:00
MK,866,WC158,MK06,2021-04-11 00:00:00,N facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.74,0,0,,2022-02-18 00:00:00
MK,854,WC159,MK07,2021-06-03 00:00:00,E facing (facing upslope of a hill that should block majority of sunlight),None,"Road, dirt",Active in field,t,1,100,100,1,2.11,0,0,,2022-02-18 00:00:00
MK,855,WC136,MK09,2021-06-03 00:00:00,E-facing,None,"Road, dirt",Active in field,t,1,100,100,1,1,0,0,,2022-02-18 00:00:00
MK,856,WC230,MK16,2021-06-03 00:00:00,NW-facing,None,"Trail, game",Active in field,t,0,100,100,1,2,0,0,,2022-02-18 00:00:00
MK,1789,WC066,MKRF2,2022-08-03 00:00:00,N/A,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2022-08-30 00:00:00
MK,1790,WC070,MKRF3,2022-08-03 00:00:00,N/A.,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2022-08-31 00:00:00
MK,1853,WC066,MKRF2,2022-08-30 00:00:00,N/A,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2023-04-23 00:00:00
